c Example graph converted from input format to desired format
p sp 1000 49851
a 0 6 19944
a 0 17 913
a 0 19 53148
a 0 41 17424
a 0 42 44616
a 0 60 15347
a 0 61 993
a 0 64 22354
a 0 66 83563
a 0 80 34287
a 0 93 5011
a 0 162 52603
a 0 165 74199
a 0 171 1374
a 0 195 559
a 0 199 8683
a 0 204 2964
a 0 212 23426
a 0 226 6357
a 0 229 4975
a 0 230 52577
a 0 281 14488
a 0 284 8948
a 0 302 6238
a 0 322 9741
a 0 348 41791
a 0 421 49779
a 0 446 24461
a 0 477 4082
a 0 479 2827
a 0 492 48429
a 0 496 14594
a 0 499 72393
a 0 501 707
a 0 506 28067
a 0 509 181
a 0 513 13520
a 0 526 45115
a 0 529 11069
a 0 567 78533
a 0 587 32856
a 0 601 8129
a 0 610 79337
a 0 644 22313
a 0 655 21106
a 0 662 58141
a 0 666 37057
a 0 682 26846
a 0 715 32007
a 0 747 188
a 0 751 11181
a 0 782 21490
a 0 792 22690
a 0 796 60931
a 0 804 11416
a 0 831 20057
a 0 852 3226
a 0 857 4185
a 0 859 13743
a 0 864 3854
a 0 875 31582
a 0 888 3619
a 0 921 5405
a 0 926 35632
a 0 934 15234
a 0 936 8103
a 0 966 69164
a 0 981 9348
a 0 994 76892
a 0 997 33485
a 1 37 11190
a 1 202 259
a 1 211 1214
a 1 338 3805
a 1 434 4512
a 1 765 1436
a 1 942 6576
a 1 991 3791
a 2 65 15552
a 2 83 647
a 2 108 3983
a 2 170 5558
a 2 184 7279
a 2 212 6467
a 2 221 10917
a 2 231 29
a 2 246 2728
a 2 271 8512
a 2 315 3609
a 2 325 3555
a 2 333 1898
a 2 342 619
a 2 532 3681
a 2 545 10747
a 2 610 5978
a 2 675 4021
a 2 692 162
a 2 694 10678
a 2 695 18984
a 2 814 11283
a 2 863 3488
a 2 977 4708
a 3 2 64499
a 3 16 8103
a 3 33 5243
a 3 103 123
a 3 115 484
a 3 120 43748
a 3 156 3392
a 3 171 6153
a 3 203 48160
a 3 218 53619
a 3 221 67304
a 3 227 11347
a 3 231 75593
a 3 252 24128
a 3 253 27699
a 3 273 52382
a 3 276 91972
a 3 283 84687
a 3 300 4016
a 3 305 34804
a 3 308 25937
a 3 314 58009
a 3 320 22597
a 3 343 854
a 3 346 1196
a 3 377 63102
a 3 386 35923
a 3 387 58176
a 3 412 50506
a 3 413 4722
a 3 415 272
a 3 433 29126
a 3 434 63487
a 3 454 28558
a 3 458 2960
a 3 468 22122
a 3 471 29400
a 3 497 46483
a 3 500 19586
a 3 510 13519
a 3 511 28567
a 3 524 311
a 3 525 40296
a 3 548 33201
a 3 552 17505
a 3 553 8101
a 3 565 18560
a 3 571 47852
a 3 598 62842
a 3 617 20957
a 3 619 37492
a 3 631 43035
a 3 657 33139
a 3 661 51138
a 3 674 36702
a 3 680 11101
a 3 684 55642
a 3 687 12356
a 3 696 74027
a 3 713 8307
a 3 760 17955
a 3 768 32015
a 3 803 29576
a 3 808 15568
a 3 813 42080
a 3 831 33163
a 3 854 4820
a 3 870 27852
a 3 872 5610
a 3 874 30290
a 3 887 11708
a 3 903 52751
a 3 904 18191
a 3 910 5455
a 3 925 45375
a 3 947 78808
a 3 969 49939
a 3 972 43032
a 3 980 57569
a 4 104 2608
a 4 170 1758
a 4 203 6756
a 4 221 2230
a 4 231 129
a 4 325 8694
a 4 342 7564
a 4 367 1480
a 4 461 618
a 4 541 3313
a 4 545 15908
a 4 563 4036
a 4 877 16474
a 4 922 15619
a 4 923 3015
a 5 19 10939
a 5 30 27777
a 5 31 22278
a 5 87 14619
a 5 91 10089
a 5 100 7071
a 5 128 1741
a 5 137 21394
a 5 184 43581
a 5 189 9784
a 5 196 18803
a 5 244 10199
a 5 267 1229
a 5 296 11119
a 5 299 2288
a 5 310 1352
a 5 312 41336
a 5 317 2911
a 5 338 25339
a 5 342 3997
a 5 399 3388
a 5 400 21125
a 5 413 2827
a 5 420 603
a 5 480 15376
a 5 507 50389
a 5 508 7092
a 5 519 39643
a 5 527 2187
a 5 532 15917
a 5 544 27045
a 5 557 10440
a 5 579 5792
a 5 580 13149
a 5 589 772
